category,bfs,municipality,provider,price
Typ II,5755,Lignerolle,Vo Energies,10.82
Typ II,5756,Montcherand,Urbagaz S.A.,9.95
Typ II,5757,Orbe,Urbagaz S.A.,9.95
Typ II,5761,Romainmôtier-Envy,Urbagaz S.A.,9.95
Typ II,5763,Valeyres-sous-Rances,Urbagaz S.A.,9.95
Typ II,5764,Vallorbe,Vo Energies,10.82
Typ II,5765,Vaulion,Vo Energies,10.82
Typ II,5766,Vuiteboeuf,Service des Energies,9.65
Typ II,5785,Corcelles-le-Jorat,Energiapro SA,11.67
Typ II,5788,Essertes,Energiapro SA,11.67
Typ II,5790,Maracon,Energiapro SA,11.67
Typ II,5792,Montpreveyres,Energiapro SA,11.67
Typ II,5799,Servion,Energiapro SA,11.67
Typ II,5803,Vulliens,Energiapro SA,11.67
Typ II,5804,Jorat-Menthue,Energiapro SA,11.67
Typ II,5805,Oron,Energiapro SA,11.67
Typ II,5812,Champtauroz,Energiapro SA,11.67
Typ II,5816,Corcelles-près-Payerne,Groupe E Celsius,8.06
Typ II,5819,Henniez,Energiapro SA,11.67
Typ II,5822,Payerne,Groupe E Celsius,8.06
Typ II,5827,Trey,Energiapro SA,11.67
Typ II,5827,Trey,Groupe E Celsius,8.06
Typ II,5828,Treytorrens (Payerne),Energiapro SA,11.67
Typ II,5830,Villarzel,Energiapro SA,11.67
Typ II,5831,Valbroye,Energiapro SA,11.67
Typ II,5853,Bursins,Services industriels Lausanne,10.69
Typ II,5856,Essertines-sur-Rolle,Services industriels Lausanne,10.69
Typ II,5857,Gilly,Services industriels Lausanne,10.69
Typ II,5858,Luins,Services industriels Lausanne,10.69
Typ II,5859,Mont-sur-Rolle,Services industriels Lausanne,10.69
Typ II,5860,Perroy,Services industriels Lausanne,10.69
Typ II,5861,Rolle,"Administration communale de Rolle, Services techniques",8.84
Typ II,5862,Tartegnin,Services industriels Lausanne,10.69
Typ II,5863,Vinzel,Services industriels Lausanne,10.69
Typ II,5881,Blonay,Energiapro SA,11.67
Typ II,5882,Chardonne,Energiapro SA,11.67
Typ II,5883,Corseaux,Energiapro SA,11.67
Typ II,5884,Corsier-sur-Vevey,Energiapro SA,11.67
Typ II,5885,Jongny,Energiapro SA,11.67
Typ II,5886,Montreux,Energiapro SA,11.67
Typ II,5888,Saint-Légier-La Chiésaz,Energiapro SA,11.67
Typ II,5889,La Tour-de-Peilz,Energiapro SA,11.67
Typ II,5890,Vevey,Energiapro SA,11.67
Typ II,5891,Veytaux,Energiapro SA,11.67
Typ II,5903,Bioley-Magnoux,Energiapro SA,11.67
Typ II,5904,Chamblon,Service des Energies,9.65
Typ II,5905,Champvent,Service des Energies,9.65
Typ II,5907,Chavannes-le-Chêne,Energiapro SA,11.67
Typ II,5909,Cheseaux-Noréaz,Service des Energies,9.65
Typ II,5911,Cuarny,Energiapro SA,11.67
Typ II,5912,Démoret,Energiapro SA,11.67
Typ II,5914,Ependes (VD),Service des Energies,9.65
Typ II,5919,Mathod,Service des Energies,9.65
Typ II,5922,Montagny-près-Yverdon,Service des Energies,9.65
Typ II,5926,Pomy,Service des Energies,9.65
Typ II,5928,Rovray,Energiapro SA,11.67
Typ II,5931,Treycovagnes,Service des Energies,9.65
Typ II,5933,Valeyres-sous-Montagny,Service des Energies,9.65
Typ II,5935,Villars-Epeney,Energiapro SA,11.67
Typ II,5938,Yverdon-les-Bains,Service des Energies,9.65
Typ II,5939,Yvonand,Energiapro SA,11.67
Typ II,6404,Boudry,Viteos S.A.,9.75
